bestand,categorie,gebruik,status,actie_voor_publicatie
jos-portret.jpg,real-life,trainerprofiel,web-geoptimaliseerd,controleer toestemming
jos-techniek.jpg,real-life,hero en techniek,web-geoptimaliseerd,controleer toestemming
jos-kumite.jpg,real-life,kumite,web-geoptimaliseerd,controleer toestemming van beide personen
groep-training-1.jpg,real-life,conditie,web-geoptimaliseerd,controleer toestemming van alle personen
groep-training-2.jpg,real-life,visie,web-geoptimaliseerd,controleer toestemming van alle personen
jos-portret-clean.jpg,clean-edit,alternatief trainerprofiel,web-geoptimaliseerd,controleer toestemming
jos-techniek-clean.jpg,clean-edit,alternatief hero en techniek,web-geoptimaliseerd,controleer toestemming
jos-kumite-clean.jpg,clean-edit,alternatief kumite,web-geoptimaliseerd,controleer toestemming van beide personen
groep-training-1-clean.jpg,clean-edit,alternatief conditie,web-geoptimaliseerd,controleer toestemming van alle personen
groep-training-2-clean.jpg,clean-edit,alternatief visie,web-geoptimaliseerd,controleer toestemming van alle personen
